Timestamp,What is your age?,What is your gender?,What is your occupation?,Are you a...?,How did you purchase your tickets?,What type of ticket did you purchase?,Did you purchase your tickets for any special event (e.g. Halloween Horror Night)?,How would you rate the ease of purchasing tickets?,What type of visitor are you?,What are your preferred attraction(s)? Select all that apply.,What month did you visit USS?,Which day did you visit USS?,How would you rate your arriving experience?,How long did you queue at the entrance before entering USS? (e.g. get through security and ticket scanning),Were staff at the entrance helpful and courteous?,"Which attraction(s) did you visit? (Select all that apply)
* includes meet-and-greets, theatre shows etc.",How would you rate the wait time for the attractions you visited?,Did you use an Express Pass?,"If your answer was ""yes"", how satisfied were you with the value of the Express Pass?",How satisfied are you with the service of the staff at the attractions?,How satisfied were you with the overall experience of the attractions?,What could have made your ride experience better?,Did you purchase from any of the shopping outlets during your visit?,Which store(s) did you visit? (Select all that apply),How much did you approximately spend on merchandise?,Was the pricing reasonable for the quality and trademark of the merchandises?,How would you rate the variety of merchandises?,Did you dine in or purchased from any of the food outlets during your visit?,"If your answer was ""Yes"" above, which food outlet(s) did you visit? (Select all that apply)",How would you rate the variety of food options available?,How would you rate the overall food quality?,Do you agree that the pricing is reasonable for the food quality?,How much did you approximately spend on food?,How long did you wait to get served at the food outlet?,"Did you encounter any issues during your visit, and were they resolved to your satisfaction?","How satisfied are you with the overall service of the staff? (e.g. friendliness, helpfulness)","How would you rate the cleanliness of the park facilities (e.g. restrooms, common areas)?",Did you find enough seating areas throughout the park?,How satisfied were you with the accessibility of restrooms throughout the park?,What could be improved about the park’s facilities?,"Overall, how satisfied were you with your visit to Universal Studios Singapore?",Which aspect of your visit was the most disappointing? (Select all that apply),Are you likely to return to the park in the future?,Would you recommend Universal Studios Singapore to a friend or family member?,What could Universal Studios Singapore improve to make your visit better? 
07/10/2024 15:47:30,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",3,No,,4,4,faster queues ,No,NA,NA,2,3,Yes,[Hollywood] Starbucks,3,4,3,$10 - $20,5 - 10 mins,No issues,4,4,Yes,4,more aircon areas ,4,"Long wait times, Overcrowded attractions",Maybe,Yes,new and more thrilling rides/attractions 
07/10/2024 15:57:04,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,Thrill Rides,Apr - Jun,Weekdays,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways",3,No,,5,5,Nil,No,NA,NA,3,3,No,NA,3,3,3,NA,NA,No issues,5,3,No,5,Toilet cleanliness,4,Overcrowded attractions,Yes,Yes,Cheaper tickets 
07/10/2024 15:59:53,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",4,No,,4,4,more thrilling rides,No,NA,NA,1,3,No,NA,3,3,3,NA,NA,No issues,3,5,No,4,NA,3,lame rides,Maybe,Yes,more rides / shows 
07/10/2024 16:00:26,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Shows",Jan - Mar,Weekdays,3,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,shorter waiting time,No,NA,NA,3,4,Yes,"[Hollywood] Starbucks, [The Lost World] Discovery Food Court",3,3,3,$20 - $30,5 - 10 mins,No issues,3,5,Yes,4,nil,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,Yes,shorter waiting times and cheaper tickets 
07/10/2024 16:04:53,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Kid-friendly, Shows, Food and Shopping",Oct - Dec,Weekends during Public/School Holidays,5,< 5 mins,Yes,"[The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Happily Ever After",3,No,,5,5,-,Yes,[New York] Big Bird's Emporium,> $30,3,5,Yes,"[Hollywood] Mel's Drive-In, [Hollywood] Starbucks",5,3,2,$10 - $20,5 - 10 mins,No issues,5,5,Yes,5,-,5,Overcrowded attractions,Yes,Yes,"More food variety please,,,,, better and good food… I only go back for the food "
07/10/2024 16:06:06,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,10 - 20 mins,Not Applicable,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure",4,No,,4,4,better crowd control at locker areas,No,NA,NA,3,4,No,[The Lost World] Discovery Food Court,3,3,2,$10 - $20,> 10 mins,No issues,4,3,No,3,more seating areas (no place to sit during peak periods),4,"Long wait times, Overcrowded attractions",Yes,Yes,more staff at locker areas 
07/10/2024 16:06:50,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,"at the queueing area, perhaps there could be more interactive elements / exhibitions so it’ll not make the waiting time as boring and dreadful ",Yes,"[Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [Far Far Away] Fairy Godmother's Potion Shop",$10 - $20,3,5,Yes,"[Hollywood] Starbucks, [Ancient Egypt] Cairo Market, [Far Far Away] Frair's Good Food",3,4,4,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,larger area where visitors could rest / chill / escape the rain ,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Yes,Yes,more rides… but kinda impossible in singapore given the limited land available 
07/10/2024 16:17:11,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,3,Group,"Thrill Rides, Shows, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,> 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,3,4,nil,No,NA,NA,2,4,Yes,"[Hollywood] Starbucks, [New York] Loui's NY Pizza Parlour™",3,3,2,$20 - $30,> 10 mins,No issues,3,3,No,3,nil,3,"Long wait times, Overcrowded attractions",Yes,Yes,nil
07/10/2024 16:21:08,26 - 35,Female,Employed,Singaporean,Physically at the entrance,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",4,No,,4,4,Being on the ride for longer cause I enjoy it too much for it to end hahaha does that count ,No,NA,NA,3,3,Yes,[Far Far Away] Goldilocks,3,4,3,$10 - $20,< 5 mins,No issues,4,4,Yes,4,More thorough cleaning and sanitising of the seats on the rides would be great cause the handlebars stink ,5,None,Yes,Yes,Have more promotional events for ticket prices as well as for f&b and merchandise so it’ll be able to attract more consumers 
07/10/2024 16:26:30,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,> 20 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters",3,No,,3,4,shorter queues man but ik its a bopes,No,NA,NA,2,3,No,NA,3,2,1,NA,NA,No issues,3,4,Yes,4,maybe more areas to cool off more aircon,4,"Long wait times, Limited dining options, Overcrowded attractions",Maybe,Yes,make some new attractions man that shit has been stagnant for eons
07/10/2024 16:58:27,26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,Special Events (e.g. Halloween Horror Nights),Jul - Sep,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",5,No,,4,5,NIL,No,NA,NA,3,4,No,NA,3,3,3,NA,NA,No issues,4,5,Yes,5,Nil,5,None,Yes,Yes,NIL
07/10/2024 18:11:32,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Solo,"Thrill Rides, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",2,No,,5,4,Lesser waiting times,Yes,[Hollywood] Candylicious,$20 - $30,3,5,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Star Dots",3,3,2,$20 - $30,5 - 10 mins,No issues,5,4,Yes,4,Nil,4,Long wait times,Yes,Yes,Waiting times can be shorter 
07/10/2024 18:31:49,18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,4,Group,"Thrill Rides, Kid-friendly, Food and Shopping",Apr - Jun,Weekdays during Public/School Holidays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure",3,No,,3,4,"shorter queuing times, more cooking environment",No,NA,NA,2,3,Yes,[The Lost World] Fossil Fuels,3,4,3,$10 - $20,5 - 10 mins,No issues,4,3,Yes,5,restroom next to jurassic park was very wet,4,Long wait times,Maybe,Yes,NA
07/10/2024 19:47:20,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Puss In Boots' Giant Journey",2,No,,4,5,if the queue could move faster ,No,NA,NA,1,4,Yes,[The Lost World] Fossil Fuels,3,2,1,$10 - $20,5 - 10 mins,No issues,3,4,No,5,the cleanliness of the toilets and sitting benches ,4,"Long wait times, Overcrowded attractions",Yes,Yes,improve the wait times and limit the amount of people that can enter the park per day. Also to make sure that the toilets are cleaned more often in a day and that staff are more enthusiastic 
07/10/2024 20:15:27,18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Oct - Dec,Weekdays during Public/School Holidays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways",3,No,,4,4,Shorter queues ,Yes,[Hollywood] Minion Mart,$20 - $30,2,3,Yes,[New York] Loui's NY Pizza Parlour™,3,3,2,$10 - $20,> 10 mins,No issues,4,3,Yes,3,Toilets can be cleaner,4,Overcrowded attractions,Yes,No,Have newer rides as the main rides haven’t really changed over the last 10 years 
07/10/2024 21:01:38,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,4,5 - 10 mins,Not Applicable,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,4,4,"longer rides
",No,"NA, [Hollywood] Minion Mart, [Hollywood] Candylicious, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",NA,4,4,No,NA,4,3,3,NA,NA,No issues,5,4,Yes,4,"more aircon
",4,Poor weather conditions,Yes,Yes,more shelters
07/10/2024 21:08:51,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly",Jan - Mar,Weekdays,4,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Happily Ever After",1,No,,3,2,Less queue,No,NA,NA,1,5,No,NA,2,2,2,NA,NA,No issues,4,4,Yes,4,More shelter  while queuing,4,"Long wait times, Overcrowded attractions",No,Yes,Less crowd
07/10/2024 21:15:38,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Thrill Rides,Jul - Sep,Weekdays,5,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Shrek 4-D Adventure",1,No,,2,2,More engaging activities in queue,No,NA,NA,2,5,No,NA,2,4,2,NA,NA,No issues,4,4,Yes,4,More sheltered walkways for waiting,4,Long wait times,Maybe,Yes,more engaging things to do during queueing 
07/10/2024 21:17:15,18 - 25,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,3,< 5 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",2,No,,3,3,shorter queues,No,"NA, [Hollywood] Universal Studios Store, [Sci-Fi City] Transformers Supply Vault",NA,2,3,No,NA,2,2,1,NA,NA,No issues,3,3,Yes,3,nil,3,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,Yes,hil
07/10/2024 21:38:45,26 - 35,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Jan - Mar,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Puss In Boots' Giant Journey",3,No,3,4,4,Ticket could be cheaper,No,"[Hollywood] Universal Studios Store, [Hollywood] Candylicious, [Far Far Away] Fairy Godmother's Potion Shop",NA,3,3,Yes,"[Hollywood] Starbucks, [Far Far Away] Goldilocks",4,4,2,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,More fans/aircon as the weather is v hot,4,Poor weather conditions,Maybe,No,NA
07/10/2024 22:17:33,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Puss In Boots' Giant Journey",3,No,,5,4,Shorter queues,Yes,[Hollywood] Minion Mart,> $30,3,5,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Star Dots",5,4,2,< $10,5 - 10 mins,"Yes, issue resolved",5,4,Yes,5,Cleaner toilets,5,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,Yes,NA
07/10/2024 23:17:43,18 - 25,Female,Student,Tourist,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Kid-friendly, Shows, Food and Shopping",Oct - Dec,Weekends,3,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",3,No,,4,4,Shorter queue?,Yes,[Hollywood] Universal Studios Store,> $30,3,3,Yes,"[Sci-Fi City] Frozen Fuel, [Sci-Fi City] Starbot Cafe",3,3,2,$20 - $30,> 10 mins,No issues,4,4,No,3,Nothing,4,"Long wait times, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,New rides haha? 
08/10/2024 19:42:30,26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",5,No,,4,4,More entertainment while queuing ,No,NA,NA,2,3,No,NA,2,3,1,NA,NA,No issues,4,4,No,4,More shade,4,Long wait times,Maybe,No,Ok place for tourist but boring when you go a few times
08/10/2024 21:20:09,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,3,4,-,No,NA,NA,1,4,Yes,[Hollywood] Mel's Drive-In,4,4,1,$10 - $20,5 - 10 mins,No issues,3,4,No,4,-,3,"Long wait times, Ride breakdowns, Poor weather conditions, Unfriendly staff, Overcrowded attractions",Maybe,Yes,-
08/10/2024 21:53:17,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure",3,No,,4,4,lesser wait times,Yes,[Hollywood] Minion Mart,$20 - $30,3,4,No,NA,3,3,3,NA,NA,No issues,4,4,Yes,3,nil,4,Long wait times,Yes,Yes,nil
09/10/2024 02:40:49,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld",3,No,,5,5,Upgrades to the equipment; some are dated,No,NA,NA,3,5,Yes,[New York] Loui's NY Pizza Parlour™,4,3,3,$10 - $20,5 - 10 mins,No issues,5,4,Yes,5,-,5,Long wait times,Yes,Yes,Better food options
09/10/2024 11:59:37,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,"Shorter queues, more interesting themed displays to look at while queueing",Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",$10 - $20,3,4,Yes,[Hollywood] Mel's Drive-In,3,3,2,< $10,> 10 mins,No issues,4,3,No,4,"More seating areas, larger entrance to the lockers to place belongings ",4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,"Shorter queue timings, more affordable ticket prices, more events, new attractions"
